Grid scores on development set:

0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.890 (+/-0.012) for {'kernel': 'poly', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.684 (+/-0.024) for {'kernel': 'poly', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.337 (+/-0.035) for {'kernel': 'poly', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 3}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.919 (+/-0.038) for {'kernel': 'poly', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 8.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.812 (+/-0.032) for {'kernel': 'poly', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 2.0, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.436 (+/-0.055) for {'kernel': 'poly', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.5, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.03125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.0078125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.001953125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.00048828125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'linear', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'poly', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 0.0001220703125, 'C': 0.00390625, 'decision_function_shape': 'ovr', 'degree': 4}
0.284 (+/-0.017) for {'kernel': 'linear', 'gamma': 8.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
0.781 (+/-0.033) for {'kernel': 'poly', 'gamma': 8.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
0.107 (+/-0.003) for {'kernel': 'rbf', 'gamma': 8.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
0.284 (+/-0.017) for {'kernel': 'linear', 'gamma': 2.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
0.578 (+/-0.048) for {'kernel': 'poly', 'gamma': 2.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
0.231 (+/-0.035) for {'kernel': 'rbf', 'gamma': 2.0, 'C': 0.015625, 'decision_function_shape': 'ovo', 'degree': 2}
